"GEO_ID","id"
"GEO_ID_F","Geo Footnote"
"NAME","Geographic Area Name"
"NAICS2017","2017 NAICS code"
"NAICS2017_F","2017 NAICS Footnote"
"INDLEVEL","Industry level"
"NAICS2017_LABEL","Meaning of NAICS code"
"INDGROUP","Industry group"
"SECTOR","NAICS economic sector "
"SUBSECTOR","SUBSECTOR"
"SEX","Sex code"
"SEX_LABEL","Meaning of Sex code"
"ETH_GROUP","Ethnicity code"
"ETH_GROUP_LABEL","Meaning of Ethnicity code"
"RACE_GROUP","Race code"
"RACE_GROUP_LABEL","Meaning of Race code"
"VET_GROUP","Veteran code"
"VET_GROUP_LABEL","Meaning of Veteran code"
"EMPSZFI","Employment size of firms code"
"EMPSZFI_LABEL","Meaning of Employment size of firms code"
"QDESC","Question description code"
"QDESC_LABEL","Meaning of Question description code"
"BUSCHAR","Business characteristic code"
"BUSCHAR_LABEL","Meaning of Business characteristic code"
"YEAR","Year"
"FIRMPDEMP","Number of employer firms"
"FIRMPDEMP_PCT","Percent of employer firms (%)"
"RCPPDEMP","Sales, value of shipments, or revenue of employer firms ($1,000)"
"RCPPDEMP_PCT","Percent of sales, value of shipments, or revenue of employer firms (%)"
"EMP","Number of employees"
"EMP_PCT","Percent of employees (%)"
"PAYANN","Annual payroll ($1,000)"
"PAYANN_PCT","Percent of annual payroll (%)"
"FIRMPDEMP_S","Relative standard error of employer firms (%)"
"FIRMPDEMP_PCT_S","Standard error of percent of employer firms (%)"
"RCPPDEMP_S","Relative standard error of sales, value of shipments, or revenue of employer firms (%)"
"RCPPDEMP_PCT_S","Standard error of percent of sales, value of shipments, or revenue of employer firms (%)"
"EMP_S","Relative standard error of number of employees (%)"
"EMP_PCT_S","Standard error of percent of employees (%)"
"PAYANN_S","Relative standard error of annual payroll (%)"
"PAYANN_PCT_S","Standard error of percent of annual payroll (%)"
